"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,0.624679324722905,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"2",100,0.800889950543046,"aipw","extended","forest",0.00840653975518779,-0.0226887447355567,0.16250582703426,-0.0149652909131766,0.00854162271873937,0.116584733640063
"3",100,0.834517489759972,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"4",100,0.672933835084628,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"5",100,0.515240638710734,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"6",100,0.802725563859716,"aipw.w","extended","forest",0.00763369897424253,-0.0227335135280757,0.160289174232956,-0.0169579140961138,0.00889118092314066,0.117566746382272
"7",100,0.78157200415363,"aipw","smart","forest",0.00828022637030124,-0.0187285256076344,0.12228613239627,-0.0145938641014706,0.0127785650972495,0.129534433809024
"8",100,0.836972843869711,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"9",100,0.480711787556908,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"10",100,0.523437800217167,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"11",100,0.781257399289886,"aipw.w","smart","forest",0.0110993408825587,-0.0192131334784242,0.123180637057593,-0.0147599366314495,0.0136290301915594,0.130612509042715
"12",100,0.434884715003829,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"13",100,0.725777811196082,"aipw","minimal","forest",0.00881157225369833,-0.0189916540683185,0.0909457241347675,-0.0057136444850922,0.0120402273201807,0.115493680850507
"14",100,0.738645468458167,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"15",100,0.521698648312432,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"16",100,0.522436333979414,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"17",100,0.728324532507703,"aipw.w","minimal","forest",0.00922949886896275,-0.0188042304695082,0.0929041181005557,-0.00439240133936083,0.0119044939849148,0.117769487693791
