"","sample.size","estimate","estimator","subset","simulation","independence","nuisance"
"76","500",-2.56647411310941,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"77","500",-1.75490420186213,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"78","500",-1.07698753837453,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"79","500",17.2114669887974,"ipw","smart","linear.constant.cate",TRUE,"linear"
"80","500",2.50029870551728,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"81","500",3.78590754273805,"aipw","smart","linear.constant.cate",TRUE,"linear"
"82","500",-2.62412736118991,"ipw","smart","linear.constant.cate",TRUE,"forest"
"83","500",-1.73523729167722,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"84","500",0.177700687902896,"aipw","smart","linear.constant.cate",TRUE,"forest"
"85","500",17.2114669887974,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"86","500",4.14545360689321,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"87","500",5.03966034952242,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"88","500",-3.60039086931488,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"89","500",-1.03140632721441,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
"90","500",0.428171998222371,"aipw","minimal.set","linear.constant.cate",TRUE,"forest"
"91","500",1707.13402448989,"ipw","outcome","linear.constant.cate",TRUE,"linear"
"92","500",2.23260373723009,"t-learner","outcome","linear.constant.cate",TRUE,"linear"
"93","500",78.6985399426093,"aipw","outcome","linear.constant.cate",TRUE,"linear"
"94","500",-2.91065727918402,"ipw","outcome","linear.constant.cate",TRUE,"forest"
"95","500",-1.8761506216405,"t-learner","outcome","linear.constant.cate",TRUE,"forest"
"96","500",-1.1891952265706,"aipw","outcome","linear.constant.cate",TRUE,"forest"
"97","500",1.56879773880421,"ipw","smart","linear.constant.cate",TRUE,"linear"
"98","500",2.23260373723009,"t-learner","smart","linear.constant.cate",TRUE,"linear"
"99","500",2.48015301919752,"aipw","smart","linear.constant.cate",TRUE,"linear"
"100","500",-3.03796332629733,"ipw","smart","linear.constant.cate",TRUE,"forest"
"101","500",-1.79459423124968,"t-learner","smart","linear.constant.cate",TRUE,"forest"
"102","500",-0.689868293789236,"aipw","smart","linear.constant.cate",TRUE,"forest"
"103","500",1.56879773880421,"ipw","minimal.set","linear.constant.cate",TRUE,"linear"
"104","500",3.0472145255186,"t-learner","minimal.set","linear.constant.cate",TRUE,"linear"
"105","500",3.39920059975629,"aipw","minimal.set","linear.constant.cate",TRUE,"linear"
"106","500",-3.80390982362487,"ipw","minimal.set","linear.constant.cate",TRUE,"forest"
"107","500",-0.990941190288158,"t-learner","minimal.set","linear.constant.cate",TRUE,"forest"
